Laptop Name,Laptop Price,Laptop Sold
"DELL ORIGINAL | Chromebook 3100 | 6 to 8 Hours Battery Timing | 16GB SSD Storage | 4GB RAM | 11.6"" FULL HD Display | Playstore Supported | Dual Core | ChromeBook With Free Mouse Gift","13,500",N/A
"Dell Chromebook 3189 - 4GB RAM, 16GB Storage, Chrome OS X360 Touch Screen Convertible 2 in 1 laptop","15,999",7 sold
Hp 725 G3 AMD AID 8th generation,"38,000",N/A
"HP PRODESK 600 G1 [ i5 4TH , 16GB, 128GB SSD, 500GB HDD, 2GB GRAPHIC CARD ]","27,999",513 sold
"Dell Latitude 3190 HD Laptop Notebook Educational PC (Intel Pentium N5030 Quad Core, 4GB DDR4, 128GB Solid State SSD, Camera, HDMI, WiFi, Bluetooth) Windows 10 DARAZ LIKE NEW LAPTOPS","22,499",125 sold
Lenovo ThinkPad T460s - Core i5 6th Generation - 8GB DDR4 - 256GB SSD - 14inches Screen - FREE LAPTOP BAGS,"42,999",44 sold
"H.P ELITE DESK 800 G1 [ CORE I5 4th, 8 GB, 128 GB SSD, 500 GB HDD, 2 GB GAMING GRAPHIC CARD }","23,900",36 sold
"HP ORIGINAL | Chromebook 11 G4 | 8 to 10 Hours Battery Timing | 16GB SSD Storage | 4GB RAM | 11.6"" FULL HD Display | WINDOWS 10 INSTALLED | Dual Core | WITH FREE MOUSE & LAPTOP BAG GIFT","9,999",N/A
"Dell Latitude E7270 Business Ultrabook: 12.5in (1920X1080), Intel core i5-6Th Gen, 256GB SSD, 8GB DDR4, Windows 10 Pro","47,999",N/A
Acer C720 - 4GB RAM / 16GB ROM -11.6 inch Display Long Battery Life,"13,500",60 sold
"HP EliteBook 840 G3 - 14” HD, Intel Core i5-6200U 2.4Ghz, 6th Gen 8GB DDR4, 128GB SSD + 500GB HDD, Windows 10 64 bit","47,999",144 sold
Acer ChromeBook R11 | Touch Screen | 16GB Storage | 4GB RAM | 360 Rotatable | 11.6″ HD Display | Playstore Supported | - Daraz Like New Laptops,"15,999",213 sold
